positive("uncle", "nephew")
positive("fluttering", "breeze")
positive("accountant", "client")
positive("most", "popular")
positive("tolerance", "indifference")
positive("solvable", "easy")
positive("bread", "baking")
positive("slacker", "indolence")
positive("marriage", "wedding")
positive("sampling", "sound design")
positive("draining", "work")
positive("meddler", "discretion")
positive("mythology", "religion")
positive("colombia", "spanish")
positive("selfless", "selfishness")
positive("cashier", "checkout clerk")
positive("hateful", "love")
positive("malicious", "harm")
positive("steadfastness", "wavering")
positive("cleaning", "sanitization")
positive("tenacity", "obstinacy")
positive("advise", "counselor")
positive("ambivalent", "vacillate")
positive("extreme", "moderate")
positive("boldness", "timidity")
positive("dormant", "growth")
positive("vast", "sky")
positive("social media", "social networking")
positive("sun", "warmth")
positive("respect", "quality")
positive("unresolved", "solution")
positive("directive", "command")
positive("revolt", "empire")
positive("dirty", "vacuum cleaner")
positive("straw man", "misrepresentation")
positive("sculpture", "3d")
positive("cicada", "sing")
positive("disapproving", "approval")
positive("wood", "timber")
positive("lemonade", "drinking")
positive("dark", "gloomy")
positive("exercise", "healthy")
positive("calculate", "analytical")
positive("run", "running")
positive("sire", "dam")
positive("homework", "assignment")
positive("obtrusive", "involvement")
positive("steep", "level")
positive("concentration", "dilution")
positive("pony", "horse")
positive("male", "female")
positive("hashtag", "tag")
positive("begin", "commence")
positive("unquestionable", "indisputable")
positive("equal", "equivalent")
positive("beans", "legumes")
positive("miniature", "model")
positive("engage", "disengage")
positive("observe", "observer")
positive("niger", "french")
positive("shirk", "work")
positive("smartphone", "touchscreen")
positive("buttons", "shirt")
positive("idi amin", "military dictator")
positive("ancestors", "descendants")
positive("farmer", "grow")
positive("spirits", "liquor")
positive("isolated", "interaction")
positive("bakery", "bread shop")
positive("adventurous", "travel")
positive("wireless", "radio")
positive("confirm", "verify")
positive("oak", "tree")
positive("filtering", "water")
positive("ethnobotanist", "plants and cultures")
positive("self-centered", "altruism")
positive("go out", "leave home for leisure")
positive("closed", "open")
positive("interference", "constructive interference")
positive("compress", "file")
positive("express", "sentiments")
positive("daughter-in-law", "son-in-law")
positive("shape", "pentagon")
positive("rice", "wheat")
positive("helium", "lighter than air")
positive("quicksand", "sinking")
positive("roadkill", "vehicle")
positive("acacia", "tree")
positive("locket", "lock")
